"Sample","DropVariable","TrainingVariableSet","TrainingEvents","AddVariable","BackgroundSample","FlattenBy","Performance","BDTLeafMinFraction","VariableTransform","ExtraFlags","BDTrainingTreeDepth","JobId"
"600pi150lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.62303184713423","1","","","30","524"
"100pi25lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.114341866559015","1","","","30","524"
"125pi25lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.126844353725968","1","","","30","524"
"125pi25lt9m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.151690451815145","1","","","30","524"
"125pi40lt9m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.180493696685742","1","","","30","524"
"125pi55lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.177356942640386","1","","","30","524"
"125pi55lt9m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.199881519778277","1","","","30","524"
"200pi50lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.207140439932813","1","","","30","524"
"200pi50lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.249418108911563","1","","","30","524"
"400pi50lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.320089023300137","1","","","30","524"
"400pi100lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.459204414898314","1","","","30","524"
"600pi50lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.355434230792644","1","","","30","524"
"600pi50lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.364755527655031","1","","","30","524"
"600pi150lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.6147196165527","1","","","30","524"
"1000pi50lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.353424325561962","1","","","30","524"
"1000pi50lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.366301930033478","1","","","30","524"
"1000pi150lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.62491947073736","1","","","30","524"
"1000pi150lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.615294962207346","1","","","30","524"
