Sample Name,Filter Efficiency,Cross Section nb,Events Generated,Source,Nick Name,Tags,Proper Lifetime [m]
data15_13TeV:data15_13TeV.00284006.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00284006,data15,
data15_13TeV:data15_13TeV.00284154.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00284154,data15,
data15_13TeV:data15_13TeV.00284213.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00284213,data15,
data15_13TeV:data15_13TeV.00284285.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00284285,data15,
data15_13TeV:data15_13TeV.00284420.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00284420,data15,
data15_13TeV:data15_13TeV.00284427.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00284427,data15,
data15_13TeV:data15_13TeV.00284484.physics_Main.merge.DAOD_EXOT15.r7562_p2521_p2667,1,0.00E+00,,,data_00284484,data15,
data16_13TeV.00297730.physics_Main.merge.DAOD_EXOT15.f694_m1583_p2667,1,0.00E+00,,,data_00297730,data16,
data16_13TeV.00298595.physics_Main.merge.DAOD_EXOT15.f698_m1594_p2667,1,0.00E+00,,,data_00298595,data16,
data16_13TeV.00298609.physics_Main.merge.DAOD_EXOT15.f698_m1594_p2667,1,0.00E+00,,,data_00298609,data16,
data16_13TeV.00298633.physics_Main.merge.DAOD_EXOT15.f698_m1594_p2667,1,0.00E+00,,,data_00298633,data16,
data16_13TeV.00298687.physics_Main.merge.DAOD_EXOT15.f698_m1594_p2667,1,0.00E+00,,,data_00298687,data16,
data16_13TeV.00298690.physics_Main.merge.DAOD_EXOT15.f698_m1594_p2667,1,0.00E+00,,,data_00298690,data16,
data16_13TeV.00298771.physics_Main.merge.DAOD_EXOT15.f698_m1594_p2667,1,0.00E+00,,,data_00298771,data16,
data16_13TeV.00298773.physics_Main.merge.DAOD_EXOT15.f698_m1594_p2667,1,0.00E+00,,,data_00298773,data16,
data16_13TeV.00298862.physics_Main.merge.DAOD_EXOT15.f696_m1588_p2667,1,0.00E+00,,,data_00298862,data16,
data16_13TeV.00298967.physics_Main.merge.DAOD_EXOT15.f696_m1588_p2667,1,0.00E+00,,,data_00298967,data16,
data16_13TeV.00299055.physics_Main.merge.DAOD_EXOT15.f698_m1594_p2667,1,0.00E+00,,,data_00299055,data16,
data16_13TeV.00299144.physics_Main.merge.DAOD_EXOT15.f698_m1594_p2667,1,0.00E+00,,,data_00299144,data16,
data16_13TeV.00299147.physics_Main.merge.DAOD_EXOT15.f698_m1594_p2667,1,0.00E+00,,,data_00299147,data16,
data16_13TeV.00299184.physics_Main.merge.DAOD_EXOT15.f698_m1594_p2667,1,0.00E+00,,,data_00299184,data16,
data16_13TeV.00299243.physics_Main.merge.DAOD_EXOT15.f698_m1594_p2667,1,0.00E+00,,,data_00299243,data16,
data16_13TeV.00299584.physics_Main.merge.DAOD_EXOT15.f703_m1600_p2667,1,0.00E+00,,,data_00299584,data16,
data16_13TeV.00300279.physics_Main.merge.DAOD_EXOT15.f705_m1606_p2667,1,0.00E+00,,,data_00300279,data16,
data16_13TeV.00300345.physics_Main.merge.DAOD_EXOT15.f705_m1606_p2667,1,0.00E+00,,,data_00300345,data16,
data16_13TeV.00300415.physics_Main.merge.DAOD_EXOT15.f705_m1606_p2667,1,0.00E+00,,,data_00300415,data16,
data16_13TeV.00300418.physics_Main.merge.DAOD_EXOT15.f705_m1606_p2667,1,0.00E+00,,,data_00300418,data16,
data16_13TeV.00300487.physics_Main.merge.DAOD_EXOT15.f705_m1606_p2667,1,0.00E+00,,,data_00300487,data16,
data16_13TeV.00300540.physics_Main.merge.DAOD_EXOT15.f705_m1606_p2667,1,0.00E+00,,,data_00300540,data16,
data16_13TeV.00300571.physics_Main.merge.DAOD_EXOT15.f705_m1606_p2667,1,0.00E+00,,,data_00300571,data16,
data16_13TeV.00300600.physics_Main.merge.DAOD_EXOT15.f708_m1606_p2667,1,0.00E+00,,,data_00300600,data16,
data16_13TeV.00300655.physics_Main.merge.DAOD_EXOT15.f708_m1606_p2667,1,0.00E+00,,,data_00300655,data16,
data16_13TeV.00300687.physics_Main.merge.DAOD_EXOT15.f708_m1606_p2667,1,0.00E+00,,,data_00300687,data16,
data16_13TeV.00300784.physics_Main.merge.DAOD_EXOT15.f708_m1606_p2667,1,0.00E+00,,,data_00300784,data16,
data16_13TeV.00300800.physics_Main.merge.DAOD_EXOT15.f708_m1606_p2667,1,0.00E+00,,,data_00300800,data16,
data16_13TeV.00300863.physics_Main.merge.DAOD_EXOT15.f708_m1606_p2667,1,0.00E+00,,,data_00300863,data16,
data16_13TeV.00300908.physics_Main.merge.DAOD_EXOT15.f708_m1606_p2667,1,0.00E+00,,,data_00300908,data16,
data16_13TeV.00301912.physics_Main.merge.DAOD_EXOT15.f709_m1611_p2667,1,0.00E+00,,,data_00301912,data16,
data16_13TeV.00301918.physics_Main.merge.DAOD_EXOT15.f709_m1611_p2667,1,0.00E+00,,,data_00301918,data16,
data16_13TeV.00301932.physics_Main.merge.DAOD_EXOT15.f709_m1611_p2667,1,0.00E+00,,,data_00301932,data16,
data16_13TeV.00301973.physics_Main.merge.DAOD_EXOT15.f709_m1611_p2667,1,0.00E+00,,,data_00301973,data16,
data16_13TeV.00302053.physics_Main.merge.DAOD_EXOT15.f709_m1611_p2689,1,0.00E+00,,,data_00302053,data16,
data16_13TeV.00302137.physics_Main.merge.DAOD_EXOT15.f709_m1620_p2689,1,0.00E+00,,,data_00302137,data16,
data16_13TeV.00302265.physics_Main.merge.DAOD_EXOT15.f709_m1620_p2689,1,0.00E+00,,,data_00302265,data16,
data16_13TeV.00302269.physics_Main.merge.DAOD_EXOT15.f709_m1620_p2689,1,0.00E+00,,,data_00302269,data16,
data16_13TeV.00302300.physics_Main.merge.DAOD_EXOT15.f711_m1620_p2689,1,0.00E+00,,,data_00302300,data16,
data16_13TeV.00302347.physics_Main.merge.DAOD_EXOT15.f711_m1620_p2689,1,0.00E+00,,,data_00302347,data16,
data16_13TeV.00302380.physics_Main.merge.DAOD_EXOT15.f711_m1620_p2689,1,0.00E+00,,,data_00302380,data16,
data16_13TeV.00302391.physics_Main.merge.DAOD_EXOT15.f711_m1620_p2689,1,0.00E+00,,,data_00302391,data16,
data16_13TeV.00302393.physics_Main.merge.DAOD_EXOT15.f711_m1620_p2689,1,0.00E+00,,,data_00302393,data16,
data16_13TeV.00302737.physics_Main.merge.DAOD_EXOT15.f711_m1620_p2689,1,0.00E+00,,,data_00302737,data16,
data16_13TeV.00302831.physics_Main.merge.DAOD_EXOT15.f711_m1620_p2689,1,0.00E+00,,,data_00302831,data16,
data16_13TeV.00302919.physics_Main.merge.DAOD_EXOT15.f715_m1620_p2689,1,0.00E+00,,,data_00302919,data16,
data16_13TeV.00302925.physics_Main.merge.DAOD_EXOT15.f715_m1620_p2689,1,0.00E+00,,,data_00302925,data16,
data16_13TeV.00302956.physics_Main.merge.DAOD_EXOT15.f715_m1620_p2689,1,0.00E+00,,,data_00302956,data16,
data16_13TeV.00303007.physics_Main.merge.DAOD_EXOT15.f715_m1620_p2689,1,0.00E+00,,,data_00303007,data16,
data16_13TeV.00303079.physics_Main.merge.DAOD_EXOT15.f715_m1620_p2689,1,0.00E+00,,,data_00303079,data16,
data16_13TeV.00303201.physics_Main.merge.DAOD_EXOT15.f715_m1620_p2689,1,0.00E+00,,,data_00303201,data16,
data16_13TeV.00303208.physics_Main.merge.DAOD_EXOT15.f715_m1620_p2689,1,0.00E+00,,,data_00303208,data16,
data16_13TeV.00303264.physics_Main.merge.DAOD_EXOT15.f715_m1620_p2689,1,0.00E+00,,,data_00303264,data16,
data16_13TeV.00303266.physics_Main.merge.DAOD_EXOT15.f715_m1620_p2689,1,0.00E+00,,,data_00303266,data16,
data16_13TeV.00303291.physics_Main.merge.DAOD_EXOT15.f716_m1620_p2689,1,0.00E+00,,,data_00303291,data16,
data16_13TeV.00303304.physics_Main.merge.DAOD_EXOT15.f716_m1620_p2689,1,0.00E+00,,,data_00303304,data16,
data16_13TeV.00303338.physics_Main.merge.DAOD_EXOT15.f716_m1620_p2689,1,0.00E+00,,,data_00303338,data16,
data16_13TeV.00303421.physics_Main.merge.DAOD_EXOT15.f716_m1620_p2689,1,0.00E+00,,,data_00303421,data16,
data16_13TeV.00303499.physics_Main.merge.DAOD_EXOT15.f716_m1620_p2689,1,0.00E+00,,,data_00303499,data16,
data16_13TeV.00303560.physics_Main.merge.DAOD_EXOT15.f716_m1620_p2689,1,0.00E+00,,,data_00303560,data16,
data16_13TeV.00303638.physics_Main.merge.DAOD_EXOT15.f716_m1620_p2689,1,0.00E+00,,,data_00303638,data16,
data16_13TeV.00303832.physics_Main.merge.DAOD_EXOT15.f716_m1620_p2689,1,0.00E+00,,,data_00303832,data16,
data16_13TeV.00303846.physics_Main.merge.DAOD_EXOT15.f716_m1620_p2689,1,0.00E+00,,,data_00303846,data16,
data16_13TeV.00303892.physics_Main.merge.DAOD_EXOT15.f716_m1620_p2689,1,0.00E+00,,,data_00303892,data16,
data16_13TeV.00303943.physics_Main.merge.DAOD_EXOT15.f716_m1620_p2689,1,0.00E+00,,,data_00303943,data16,
data16_13TeV.00304006.physics_Main.merge.DAOD_EXOT15.f716_m1620_p2689,1,0.00E+00,,,data_00304006,data16,
data16_13TeV.00304008.physics_Main.merge.DAOD_EXOT15.f716_m1620_p2689,1,0.00E+00,,,data_00304008,data16,
data16_13TeV.00304128.physics_Main.merge.DAOD_EXOT15.f716_m1620_p2689,1,0.00E+00,,,data_00304128,data16,
data16_13TeV.00304178.physics_Main.merge.DAOD_EXOT15.f716_m1620_p2689,1,0.00E+00,,,data_00304178,data16,
data16_13TeV.00304198.physics_Main.merge.DAOD_EXOT15.f716_m1620_p2689,1,0.00E+00,,,data_00304198,data16,
data16_13TeV.00304211.physics_Main.merge.DAOD_EXOT15.f716_m1620_p2689,1,0.00E+00,,,data_00304211,data16,
data16_13TeV.00304243.physics_Main.merge.DAOD_EXOT15.f716_m1620_p2689,1,0.00E+00,,,data_00304243,data16,
data16_13TeV.00304308.physics_Main.merge.DAOD_EXOT15.f716_m1620_p2689,1,0.00E+00,,,data_00304308,data16,
data16_13TeV.00304337.physics_Main.merge.DAOD_EXOT15.f716_m1620_p2689,1,0.00E+00,,,data_00304337,data16,
data16_13TeV.00304409.physics_Main.merge.DAOD_EXOT15.f716_m1620_p2689,1,0.00E+00,,,data_00304409,data16,
data16_13TeV.00304431.physics_Main.merge.DAOD_EXOT15.f716_m1620_p2689,1,0.00E+00,,,data_00304431,data16,
data16_13TeV.00304494.physics_Main.merge.DAOD_EXOT15.f716_m1620_p2689,1,0.00E+00,,,data_00304494,data16,
data16_13TeV.00305380.physics_Main.merge.DAOD_EXOT15.f727_m1646_p2769,1,0.00E+00,,,data_00305380,data16,
data16_13TeV.00305543.physics_Main.merge.DAOD_EXOT15.f729_m1646_p2769,1,0.00E+00,,,data_00305543,data16,
data16_13TeV.00305571.physics_Main.merge.DAOD_EXOT15.f729_m1646_p2769,1,0.00E+00,,,data_00305571,data16,
data16_13TeV.00305618.physics_Main.merge.DAOD_EXOT15.f729_m1646_p2769,1,0.00E+00,,,data_00305618,data16,
data16_13TeV.00305671.physics_Main.merge.DAOD_EXOT15.f729_m1646_p2769,1,0.00E+00,,,data_00305671,data16,
data16_13TeV.00305674.physics_Main.merge.DAOD_EXOT15.f729_m1646_p2769,1,0.00E+00,,,data_00305674,data16,
data16_13TeV.00305723.physics_Main.merge.DAOD_EXOT15.f729_m1646_p2769,1,0.00E+00,,,data_00305723,data16,
data16_13TeV.00305727.physics_Main.merge.DAOD_EXOT15.f730_m1653_p2769,1,0.00E+00,,,data_00305727,data16,
data16_13TeV.00305735.physics_Main.merge.DAOD_EXOT15.f730_m1653_p2769,1,0.00E+00,,,data_00305735,data16,
data16_13TeV.00305777.physics_Main.merge.DAOD_EXOT15.f730_m1653_p2769,1,0.00E+00,,,data_00305777,data16,
data16_13TeV.00305811.physics_Main.merge.DAOD_EXOT15.f730_m1653_p2769,1,0.00E+00,,,data_00305811,data16,
data16_13TeV.00305920.physics_Main.merge.DAOD_EXOT15.f730_m1653_p2769,1,0.00E+00,,,data_00305920,data16,
data16_13TeV.00306269.physics_Main.merge.DAOD_EXOT15.f731_m1659_p2769,1,0.00E+00,,,data_00306269,data16,
data16_13TeV.00306278.physics_Main.merge.DAOD_EXOT15.f732_m1659_p2769,1,0.00E+00,,,data_00306278,data16,
data16_13TeV.00306310.physics_Main.merge.DAOD_EXOT15.f731_m1659_p2769,1,0.00E+00,,,data_00306310,data16,
data16_13TeV.00306384.physics_Main.merge.DAOD_EXOT15.f733_m1659_p2769,1,0.00E+00,,,data_00306384,data16,
data16_13TeV.00306419.physics_Main.merge.DAOD_EXOT15.f731_m1659_p2769,1,0.00E+00,,,data_00306419,data16,
data16_13TeV.00306442.physics_Main.merge.DAOD_EXOT15.f731_m1659_p2769,1,0.00E+00,,,data_00306442,data16,
data16_13TeV.00306448.physics_Main.merge.DAOD_EXOT15.f731_m1659_p2769,1,0.00E+00,,,data_00306448,data16,
data16_13TeV.00306451.physics_Main.merge.DAOD_EXOT15.f731_m1659_p2769,1,0.00E+00,,,data_00306451,data16,
data16_13TeV.00311481.physics_Main.merge.DAOD_EXOT15.f758_m1710_p2840,1,0.00E+00,,,data_00311481,data16,
data16_13TeV.00311473.physics_Main.merge.DAOD_EXOT15.f758_m1710_p2840,1,0.00E+00,,,data_00311473,data16,
data16_13TeV.00311402.physics_Main.merge.DAOD_EXOT15.f758_m1710_p2840,1,0.00E+00,,,data_00311402,data16,
data16_13TeV.00311365.physics_Main.merge.DAOD_EXOT15.f758_m1710_p2840,1,0.00E+00,,,data_00311365,data16,
data16_13TeV.00311321.physics_Main.merge.DAOD_EXOT15.f758_m1710_p2840,1,0.00E+00,,,data_00311321,data16,
data16_13TeV.00311287.physics_Main.merge.DAOD_EXOT15.f758_m1710_p2840,1,0.00E+00,,,data_00311287,data16,
data16_13TeV.00311244.physics_Main.merge.DAOD_EXOT15.f758_m1710_p2840,1,0.00E+00,,,data_00311244,data16,
data16_13TeV.00311170.physics_Main.merge.DAOD_EXOT15.f758_m1710_p2840,1,0.00E+00,,,data_00311170,data16,
data16_13TeV.00311071.physics_Main.merge.DAOD_EXOT15.f758_m1710_p2840,1,0.00E+00,,,data_00311071,data16,
data16_13TeV.00310969.physics_Main.merge.DAOD_EXOT15.f758_m1710_p2840,1,0.00E+00,,,data_00310969,data16,
data16_13TeV.00310872.physics_Main.merge.DAOD_EXOT15.f756_m1710_p2840,1,0.00E+00,,,data_00310872,data16,
data16_13TeV.00310863.physics_Main.merge.DAOD_EXOT15.f756_m1710_p2840,1,0.00E+00,,,data_00310863,data16,
data16_13TeV.00310809.physics_Main.merge.DAOD_EXOT15.f756_m1710_p2840,1,0.00E+00,,,data_00310809,data16,
data16_13TeV.00310738.physics_Main.merge.DAOD_EXOT15.f756_m1704_p2840,1,0.00E+00,,,data_00310738,data16,
data16_13TeV.00310691.physics_Main.merge.DAOD_EXOT15.f756_m1704_p2840,1,0.00E+00,,,data_00310691,data16,
data16_13TeV.00310634.physics_Main.merge.DAOD_EXOT15.f756_m1704_p2840,1,0.00E+00,,,data_00310634,data16,
data16_13TeV.00310473.physics_Main.merge.DAOD_EXOT15.f756_m1704_p2840,1,0.00E+00,,,data_00310473,data16,
data16_13TeV.00310468.physics_Main.merge.DAOD_EXOT15.f756_m1704_p2840,1,0.00E+00,,,data_00310468,data16,
data16_13TeV.00310405.physics_Main.merge.DAOD_EXOT15.f756_m1704_p2840,1,0.00E+00,,,data_00310405,data16,
data16_13TeV.00310370.physics_Main.merge.DAOD_EXOT15.f755_m1704_p2840,1,0.00E+00,,,data_00310370,data16,
